transaction_id,payment_date,customer_id,price
T0000000000,2024-08-02 06:41:56,BB######,
T0000000001,2024-04-27 05:11:03,Km######,340000.0
T0000000002,2025-02-22 17:42:24,hb######,50000.0
T0000000003,2024-03-13 00:46:19,mS######,
T0000000004,2024-07-10 07:30:44,rH######,180000.0
T0000000005,2024-03-09 23:28:43,dz######,
T0000000006,2024-10-31 06:19:02,BY######,
T0000000007,2024-09-17 09:47:19,Aj######,255000.0
T0000000008,2025-01-06 14:45:31,Ur######,
T0000000009,2024-07-26 00:47:07,yF######,100000.0
T0000000010,2025-02-27 13:20:26,PL######,540000.0
T0000000011,2025-02-18 05:26:24,VR######,375000.0
T0000000012,2025-01-11 23:36:01,se######,285000.0
T0000000013,2024-08-07 10:28:50,Be######,240000.0
T0000000014,2024-07-29 09:23:35,oi######,
T0000000015,2024-11-05 19:56:27,xw######,
T0000000016,2025-02-24 13:19:49,yW######,
T0000000017,2025-01-05 09:36:00,kY######,630000.0
T0000000018,2024-12-02 10:39:23,EI######,490000.0
T0000000019,2024-09-23 00:22:20,ml######,
T0000000020,2024-04-09 11:34:47,hh######,720000.0
T0000000021,2024-10-30 17:21:33,Oq######,360000.0
T0000000022,2024-09-04 14:18:04,rg######,240000.0
T0000000023,2024-08-28 03:31:27,ov######,1050000.0
T0000000024,2024-08-13 15:53:35,xs######,350000.0
T0000000025,2025-02-02 08:45:05,SM######,1200000.0
T0000000026,2024-07-01 23:54:14,ah######,390000.0
T0000000027,2024-06-23 16:57:29,xZ######,255000.0
T0000000028,2024-03-10 01:59:04,Ef######,730000.0
T0000000029,2024-10-10 08:30:26,no######,210000.0
T0000000030,2024-05-07 07:43:03,gI######,180000.0
T0000000031,2024-04-27 08:50:27,ET######,
T0000000032,2024-12-14 03:42:18,ov######,100000.0
T0000000033,2024-09-25 09:47:16,LA######,
T0000000034,2025-03-04 04:04:07,Vo######,340000.0
T0000000035,2024-06-16 20:25:30,yb######,
T0000000036,2025-01-09 13:45:30,lb######,630000.0
T0000000037,2024-10-24 03:42:04,aR######,200000.0
T0000000038,2024-09-28 05:24:10,LV######,
T0000000039,2025-01-27 17:11:11,wD######,540000.0
T0000000040,2024-10-27 20:06:52,Jr######,630000.0
T0000000041,2024-11-26 19:54:40,Ty######,
T0000000042,2024-11-04 07:06:49,mb######,350000.0
T0000000043,2024-07-06 20:56:16,mU######,1260000.0
T0000000044,2024-05-06 00:43:00,Mf######,1440000.0
T0000000045,2024-04-02 06:59:20,TH######,200000.0
T0000000046,2024-08-16 02:03:20,FK######,
T0000000047,2024-10-10 09:50:40,FC######,
T0000000048,2024-10-02 05:41:25,em######,690000.0
T0000000049,2025-02-06 19:01:02,lZ######,
T0000000050,2024-06-26 13:55:04,KN######,
T0000000051,2024-03-13 07:07:04,Qc######,1470000.0
T0000000052,2024-07-31 09:12:02,Em######,
T0000000053,2024-06-05 06:51:07,qY######,50000.0
T0000000054,2024-05-26 17:25:35,aT######,
T0000000055,2024-12-21 05:17:46,rc######,85000.0
T0000000056,2025-01-06 00:10:34,CQ######,240000.0
T0000000057,2024-07-02 23:09:25,OZ######,420000.0
T0000000058,2025-02-23 01:59:14,Dr######,150000.0
T0000000059,2024-09-15 06:10:05,HA######,
T0000000060,2024-05-09 14:33:24,os######,640000.0
T0000000061,2024-08-18 15:51:13,HL######,
T0000000062,2024-07-03 10:41:30,bF######,
T0000000063,2024-05-29 17:53:44,QJ######,
T0000000064,2024-06-13 08:20:28,ZG######,240000.0
T0000000065,2024-09-27 02:10:59,sP######,360000.0
T0000000066,2024-10-01 03:46:39,Hm######,535000.0
T0000000067,2024-08-02 12:09:15,in######,150000.0
T0000000068,2024-05-18 18:42:57,ED######,200000.0
T0000000069,2025-01-19 03:48:02,OM######,600000.0
T0000000070,2024-06-21 02:04:42,vW######,
